customer_id,customer_name,state,acquisition_channel,signup_date
CUST-00066,Fernanda Souza,SC,paid_search,2024-10-05
CUST-00067,Mariana Almeida,RS,organic,2024-09-27
CUST-00068,Juliana Pereira,SP,organic,2024-04-04
CUST-00069,Carla Pereira,MG,social,2024-12-07
CUST-00070,Mariana Silva,RJ,organic,2025-03-13
CUST-00071,Mariana Silva,SC,email,2024-06-01
CUST-00072,Juliana Oliveira,SP,marketplace,2024-05-31
CUST-00073,Ana Costa,PR,paid_search,2025-01-08
CUST-00074,Gustavo Rodrigues,DF,paid_search,2024-04-15
CUST-00075,Carla Oliveira,BA,organic,2024-08-30
CUST-00076,Gustavo Rodrigues,PR,marketplace,2024-07-02
CUST-00077,Bruno Rodrigues,SP,social,2024-06-12
CUST-00078,Diego Almeida,SC,marketplace,2024-08-15
CUST-00079,Diego Silva,PR,social,2024-08-21
CUST-00080,Fernanda Santos,RS,marketplace,2024-12-02
CUST-00081,Juliana Costa,SP,organic,2025-06-05
CUST-00082,Carla Pereira,SP,organic,2024-09-24
CUST-00083,Gustavo Costa,BA,email,2025-03-20
CUST-00084,Bruno Rodrigues,DF,paid_search,2025-06-07
CUST-00085,Ana Rodrigues,SP,email,2024-09-17
CUST-00086,Gustavo Rodrigues,RJ,marketplace,2024-07-20
CUST-00087,Bruno Pereira,GO,marketplace,2024-11-17
CUST-00088,Gustavo Rodrigues,RS,email,2025-02-22
CUST-00089,Diego Rodrigues,BA,paid_search,2024-05-10
CUST-00090,Juliana Silva,RS,marketplace,2024-11-04
CUST-00091,Juliana Costa,PE,social,2024-08-03
CUST-00092,Diego Almeida,MG,organic,2025-03-28
CUST-00093,Mariana Costa,RJ,paid_search,2024-10-17
CUST-00094,Diego Souza,MG,organic,2024-11-13
CUST-00095,Diego Almeida,DF,organic,2024-02-17
CUST-00096,Juliana Souza,BA,social,2025-04-11
CUST-00097,Diego Oliveira,SP,organic,2025-02-13
CUST-00098,Diego Oliveira,GO,social,2025-03-11
CUST-00099,Mariana Souza,RJ,social,2024-02-21
CUST-00100,Lucas Costa,PE,email,2024-05-16
CUST-00101,Juliana Almeida,MG,social,2025-05-31
CUST-00102,Fernanda Souza,RS,email,2025-04-05
CUST-00103,Diego Pereira,PE,organic,2025-05-11
CUST-00104,Diego Pereira,SC,marketplace,2024-10-19
CUST-00105,Carla Oliveira,PR,social,2024-03-23
CUST-00106,Diego Santos,BA,social,2024-06-05
CUST-00107,Mariana Almeida,BA,organic,2024-12-04
CUST-00108,Juliana Rodrigues,DF,organic,2024-07-30
CUST-00109,Lucas Silva,SC,marketplace,2025-01-24
CUST-00110,Juliana Souza,PE,paid_search,2025-02-03
CUST-00111,Juliana Almeida,SP,social,2024-10-06
CUST-00112,Juliana Oliveira,PE,paid_search,2024-12-10
CUST-00113,Juliana Silva,RJ,social,2024-01-28
CUST-00114,Lucas Oliveira,SP,marketplace,2024-05-18
CUST-00115,Gustavo Souza,PE,marketplace,2025-01-23
CUST-00116,Juliana Pereira,BA,marketplace,2024-12-11
CUST-00117,Lucas Silva,GO,organic,2024-03-24
CUST-00118,Diego Santos,SP,organic,2024-12-24
CUST-00119,Diego Silva,DF,paid_search,2024-09-10
CUST-00120,Carla Almeida,RJ,email,2024-09-01
CUST-00121,Lucas Pereira,SC,paid_search,2024-08-11
CUST-00122,Carla Pereira,RJ,email,2024-04-27
CUST-00123,Fernanda Rodrigues,BA,paid_search,2024-01-27
CUST-00124,Rafael Souza,RJ,marketplace,2024-03-18
CUST-00125,Rafael Silva,SC,email,2024-05-03
CUST-00126,Gustavo Santos,GO,marketplace,2025-03-14
CUST-00127,Juliana Almeida,RJ,social,2024-01-13
CUST-00128,Lucas Oliveira,BA,paid_search,2025-01-05
CUST-00129,Fernanda Almeida,PE,social,2025-06-18
CUST-00130,Gustavo Souza,RJ,marketplace,2024-10-01
CUST-00131,Diego Almeida,DF,email,2025-04-06
CUST-00132,Gustavo Silva,PE,marketplace,2025-01-23
CUST-00133,Lucas Souza,SC,marketplace,2024-07-05
CUST-00134,Fernanda Pereira,GO,organic,2024-12-14
CUST-00135,Diego Santos,PR,social,2025-06-13
CUST-00136,Mariana Souza,PE,social,2025-05-15
CUST-00137,Ana Santos,RS,paid_search,2025-04-03
CUST-00138,Diego Pereira,DF,marketplace,2025-02-18
CUST-00139,Mariana Costa,BA,email,2025-04-29
CUST-00140,Gustavo Almeida,RS,marketplace,2024-12-04
CUST-00141,Diego Santos,PR,marketplace,2024-09-14
CUST-00142,Mariana Oliveira,PR,paid_search,2024-05-02
CUST-00143,Fernanda Pereira,RJ,paid_search,2025-05-10
CUST-00144,Diego Costa,MG,marketplace,2024-10-30
CUST-00145,Mariana Oliveira,RS,organic,2024-01-15
CUST-00146,Mariana Pereira,MG,social,2024-02-25
CUST-00147,Ana Pereira,PE,social,2024-04-15
CUST-00148,Gustavo Oliveira,SP,marketplace,2025-03-27
CUST-00149,Bruno Santos,BA,social,2025-05-04
CUST-00150,Rafael Silva,MG,paid_search,2024-03-16
CUST-00151,Bruno Souza,RJ,email,2024-11-07
CUST-00152,Rafael Souza,GO,social,2025-03-02
CUST-00153,Lucas Pereira,DF,social,2025-04-06
CUST-00154,Rafael Silva,DF,organic,2024-11-08
CUST-00155,Diego Pereira,RJ,paid_search,2024-07-31
CUST-00156,Carla Santos,MG,organic,2024-09-02
CUST-00157,Lucas Almeida,RS,organic,2025-02-22
CUST-00158,Fernanda Pereira,PE,organic,2024-08-25
CUST-00159,Fernanda Souza,BA,organic,2024-08-27
CUST-00160,Carla Pereira,MG,organic,2024-08-18
CUST-00161,Carla Pereira,DF,email,2024-03-02
CUST-00162,Lucas Santos,PE,marketplace,2024-10-22
CUST-00163,Fernanda Almeida,PE,organic,2025-02-16
CUST-00164,Juliana Costa,DF,marketplace,2024-02-10
CUST-00165,Bruno Souza,DF,email,2024-01-27
CUST-00166,Fernanda Silva,MG,social,2024-01-22
CUST-00167,Lucas Pereira,MG,email,2025-06-15
CUST-00168,Lucas Santos,PE,marketplace,2025-03-22
CUST-00169,Gustavo Costa,RJ,paid_search,2025-02-22
CUST-00170,Juliana Almeida,RS,social,2024-12-03
CUST-00171,Lucas Santos,SC,marketplace,2024-02-07
CUST-00172,Bruno Rodrigues,GO,organic,2024-11-27
CUST-00173,Juliana Silva,PR,email,2025-04-18
CUST-00174,Rafael Almeida,PE,organic,2025-01-05
CUST-00175,Fernanda Oliveira,RS,social,2024-07-27
CUST-00176,Bruno Silva,DF,paid_search,2025-05-11
CUST-00177,Fernanda Silva,GO,social,2024-06-11
CUST-00178,Diego Santos,PE,organic,2024-04-05
CUST-00179,Lucas Pereira,GO,marketplace,2024-06-06
CUST-00180,Lucas Almeida,PR,social,2025-03-01
CUST-00181,Juliana Souza,DF,email,2024-05-28
CUST-00182,Bruno Pereira,BA,marketplace,2024-05-19
CUST-00183,Fernanda Silva,RS,marketplace,2025-06-03
CUST-00184,Carla Almeida,GO,social,2025-05-16
CUST-00185,Gustavo Rodrigues,PE,marketplace,2024-12-19
CUST-00186,Diego Rodrigues,PR,social,2024-07-12
CUST-00187,Gustavo Almeida,BA,social,2024-02-14
CUST-00188,Lucas Silva,MG,email,2024-06-04
CUST-00189,Bruno Almeida,RJ,email,2024-12-05
CUST-00190,Ana Oliveira,BA,paid_search,2025-04-12
CUST-00191,Lucas Pereira,SC,email,2024-03-17
CUST-00192,Bruno Costa,GO,social,2025-02-11
CUST-00193,Lucas Silva,DF,organic,2024-11-20
CUST-00194,Fernanda Souza,RJ,social,2024-08-28
CUST-00195,Bruno Almeida,MG,marketplace,2024-04-10
CUST-00196,Ana Costa,SP,marketplace,2024-01-30
CUST-00197,Gustavo Rodrigues,MG,paid_search,2025-01-02
CUST-00198,Rafael Oliveira,MG,paid_search,2025-02-25
CUST-00199,Rafael Rodrigues,DF,paid_search,2024-03-21
CUST-00200,Rafael Oliveira,PR,social,2025-05-24
CUST-00201,Lucas Pereira,SP,social,2024-09-17
CUST-00202,Mariana Oliveira,RJ,social,2024-10-21
CUST-00203,Rafael Pereira,BA,marketplace,2024-12-19
CUST-00204,Fernanda Souza,BA,social,2025-04-12
CUST-00205,Diego Rodrigues,DF,marketplace,2024-04-19
CUST-00206,Fernanda Silva,BA,marketplace,2024-10-29
CUST-00207,Rafael Silva,DF,social,2024-01-09
CUST-00208,Diego Costa,PR,paid_search,2024-10-20
CUST-00209,Carla Santos,SP,marketplace,2024-09-13
CUST-00210,Ana Costa,MG,organic,2025-03-27
CUST-00211,Gustavo Rodrigues,MG,paid_search,2024-10-29
CUST-00212,Mariana Costa,GO,email,2024-05-15
CUST-00213,Carla Pereira,PE,marketplace,2024-10-06
CUST-00214,Bruno Almeida,RJ,paid_search,2024-12-12
CUST-00215,Juliana Costa,RJ,social,2024-08-19
CUST-00216,Fernanda Santos,PE,marketplace,2024-01-15
CUST-00217,Rafael Rodrigues,SC,organic,2024-09-25
CUST-00218,Lucas Silva,DF,email,2024-08-27
CUST-00219,Rafael Souza,RJ,social,2024-12-01
CUST-00220,Juliana Santos,MG,organic,2024-11-05
CUST-00221,Fernanda Almeida,RJ,organic,2024-02-08
CUST-00222,Mariana Oliveira,BA,social,2024-08-28
CUST-00223,Mariana Rodrigues,DF,paid_search,2025-01-14
CUST-00224,Bruno Almeida,DF,social,2025-02-28
CUST-00225,Ana Costa,PR,social,2024-10-13
CUST-00226,Diego Costa,RJ,marketplace,2025-03-31
CUST-00227,Ana Rodrigues,RS,paid_search,2025-01-02
CUST-00228,Lucas Santos,PR,email,2024-05-05
CUST-00229,Ana Costa,PR,paid_search,2024-01-22
CUST-00230,Bruno Souza,DF,paid_search,2024-07-29
CUST-00231,Gustavo Oliveira,DF,organic,2024-08-26
CUST-00232,Carla Oliveira,GO,marketplace,2024-10-10
CUST-00233,Bruno Silva,MG,organic,2024-06-27
CUST-00234,Diego Costa,SP,paid_search,2025-01-01
CUST-00235,Ana Oliveira,BA,email,2024-09-28
CUST-00236,Bruno Almeida,PE,marketplace,2024-04-26
CUST-00237,Rafael Santos,PE,email,2025-06-09
CUST-00238,Rafael Silva,GO,marketplace,2024-08-14
CUST-00239,Ana Silva,PE,social,2025-04-14
CUST-00240,Bruno Almeida,PE,organic,2025-03-12
CUST-00241,Gustavo Oliveira,RJ,paid_search,2024-03-23
CUST-00242,Rafael Costa,BA,email,2024-10-08
CUST-00243,Lucas Rodrigues,RJ,organic,2024-10-28
CUST-00244,Juliana Almeida,PR,social,2024-08-08
CUST-00245,Lucas Rodrigues,BA,organic,2024-12-13
CUST-00246,Juliana Costa,RS,marketplace,2024-11-16
CUST-00247,Lucas Santos,RJ,organic,2024-06-05
CUST-00248,Juliana Santos,SC,paid_search,2024-04-05
CUST-00249,Rafael Costa,RJ,social,2024-03-02
CUST-00250,Juliana Silva,RS,email,2024-12-28
